[2026-02-02 14:08:20] Loading .env file: C:\laragon\www\neo-faraid/.env
[2026-02-02 14:08:20] Loaded env var: APP_NAME=Neo Faraid
[2026-02-02 14:08:20] Loaded env var: APP_ENV=production
[2026-02-02 14:08:20] Loaded env var: APP_KEY=base64:2pZ7L3OuQma9BpksXC1NFj4cytjQkUO1gnAIEIZdeiw=
[2026-02-02 14:08:20] Loaded env var: APP_DEBUG=true
[2026-02-02 14:08:20] Loaded env var: APP_URL=https://rosybrown-skunk-415825.hostingersite.com
[2026-02-02 14:08:20] Loaded env var: APP_TIMEZONE=Asia/Kuala_Lumpur
[2026-02-02 14:08:20] Loaded env var: APP_LOCALE=en
[2026-02-02 14:08:20] Loaded env var: APP_FALLBACK_LOCALE=en
[2026-02-02 14:08:20] Loaded env var: LOG_CHANNEL=stack
[2026-02-02 14:08:20] Loaded env var: LOG_DEPRECATIONS_CHANNEL=null
[2026-02-02 14:08:20] Loaded env var: LOG_LEVEL=debug
[2026-02-02 14:08:20] Loaded env var: DB_CONNECTION=mysql
[2026-02-02 14:08:20] Loaded env var: DB_HOST=127.0.0.1
[2026-02-02 14:08:20] Loaded env var: DB_PORT=3306
[2026-02-02 14:08:20] Loaded env var: DB_DATABASE=u700912713_NeoFaraid
[2026-02-02 14:08:20] Loaded env var: DB_USERNAME=u700912713_NeoFaraid
[2026-02-02 14:08:20] Loaded env var: DB_PASSWORD=Neofaraid123
[2026-02-02 14:08:20] Loaded env var: BROADCAST_DRIVER=log
[2026-02-02 14:08:20] Loaded env var: CACHE_DRIVER=file
[2026-02-02 14:08:20] Loaded env var: FILESYSTEM_DISK=public
[2026-02-02 14:08:20] Loaded env var: QUEUE_CONNECTION=sync
[2026-02-02 14:08:20] Loaded env var: SESSION_DRIVER=file
[2026-02-02 14:08:20] Loaded env var: SESSION_LIFETIME=120
[2026-02-02 14:08:20] Loaded env var: SESSION_COOKIE=neo_faraid_session
[2026-02-02 14:08:20] Loaded env var: SESSION_SECURE_COOKIE=true
[2026-02-02 14:08:20] Loaded env var: REDIS_HOST=127.0.0.1
[2026-02-02 14:08:20] Loaded env var: REDIS_PASSWORD=null
[2026-02-02 14:08:20] Loaded env var: REDIS_PORT=6379
[2026-02-02 14:08:20] Loaded env var: REDIS_CLIENT=predis
[2026-02-02 14:08:20] Loaded env var: MAIL_MAILER=log
[2026-02-02 14:08:20] Loaded env var: MAIL_FROM_ADDRESS=noreply@neofaraid.com
[2026-02-02 14:08:20] Loaded env var: MAIL_FROM_NAME=Neo Faraid
[2026-02-02 14:08:20] Loaded env var: TELEGRAM_BOT_TOKEN=8039580931:AAHJhyuPoNnXPbIW_S-DMEj6nf2vUfvlyFQ
[2026-02-02 14:08:20] Loaded env var: TELEGRAM_BOT_USERNAME=FaraidCalculatorBot
[2026-02-02 14:08:20] Loaded env var: TELEGRAM_WEBHOOK_URL=https://rosybrown-skunk-415825.hostingersite.com/neofaraid-webhook.php
[2026-02-02 14:08:20] Loaded env var: TELEGRAM_WEBHOOK_SECRET=neo_faraid_secret_2024_!@#
[2026-02-02 14:08:20] Loaded env var: ADMIN_REGISTRATION_KEY=admin123
[2026-02-02 14:08:20] Loaded env var: SANCTUM_STATEFUL_DOMAINS=https://rosybrown-skunk-415825.hostingersite.com
[2026-02-02 14:08:20] Loaded env var: SESSION_DOMAIN=rosybrown-skunk-415825.hostingersite.com
[2026-02-02 14:08:20] Loaded env var: SESSION_SECURE_COOKIE=false
[2026-02-02 14:08:20] Loaded env var: FILESYSTEM_DISK=local
[2026-02-02 14:08:20] Loaded env var: UPLOAD_MAX_SIZE=2048
[2026-02-02 14:08:20] Loaded env var: UPLOAD_ALLOWED_MIMES=jpeg,png,jpg,gif,pdf
[2026-02-02 14:08:20] Loaded env var: VITE_APP_NAME=Neo Faraid
[2026-02-02 14:08:20] Loaded env var: VITE_APP_URL=https://rosybrown-skunk-415825.hostingersite.com
[2026-02-02 14:08:20] Loaded env var: VITE_API_URL=https://rosybrown-skunk-415825.hostingersite.com/api
[2026-02-02 14:08:20] Loaded env var: DOMPDF_ENABLE_REMOTE=true
[2026-02-02 14:08:20] Loaded env var: DOMPDF_ENABLE_CSS_FLOAT=true
[2026-02-02 14:08:20] Loaded env var: WHATSAPP_API_KEY=
[2026-02-02 14:08:20] Loaded env var: WHATSAPP_PHONE_NUMBER_ID=
[2026-02-02 14:08:20] ========================================
[2026-02-02 14:08:20] TelegramAPI initialized: Token: 8039580931...
[2026-02-02 14:08:20] TelegramAPI initialized: Token: 8039580931...
[2026-02-02 14:08:20] TelegramAPI initialized: Token: 8039580931...
[2026-02-02 14:08:20] TelegramAPI initialized: Token: 8039580931...
[2026-02-02 14:08:20] TelegramAPI initialized: Token: 8039580931...
[2026-02-02 14:08:20] TelegramAPI initialized: Token: 8039580931...
[2026-02-02 14:08:20] TelegramAPI initialized: Token: 8039580931...
[2026-02-02 14:08:20] TelegramAPI initialized: Token: 8039580931...
[2026-02-02 14:08:20] TelegramAPI initialized: Token: 8039580931...
[2026-02-02 14:08:20] TelegramAPI initialized: Token: 8039580931...
[2026-02-02 14:08:20] TelegramAPI initialized: Token: 8039580931...
[2026-02-02 14:08:20] TelegramAPI initialized: Token: 8039580931...
[2026-02-02 14:08:20] TelegramAPI initialized: Token: 8039580931...
[2026-02-02 14:08:20] TelegramAPI initialized: Token: 8039580931...
[2026-02-02 14:08:20] TelegramAPI initialized: Token: 8039580931...
[2026-02-02 14:08:20] TelegramAPI initialized: Token: 8039580931...
[2026-02-02 14:08:20] TelegramAPI initialized: Token: 8039580931...
[2026-02-02 14:08:20] TelegramAPI initialized: Token: 8039580931...
[2026-02-02 14:08:20] TelegramAPI initialized: Token: 8039580931...
[2026-02-02 14:08:20] TelegramAPI initialized: Token: 8039580931...
[2026-02-02 14:08:20] TelegramAPI initialized: Token: 8039580931...
[2026-02-02 14:08:20] TelegramAPI initialized: Token: 8039580931...
[2026-02-02 14:08:20] TelegramAPI initialized: Token: 8039580931...
[2026-02-02 14:08:20] TelegramAPI initialized: Token: 8039580931...
[2026-02-02 14:08:20] TelegramAPI initialized: Token: 8039580931...
[2026-02-02 14:08:20] TelegramAPI initialized: Token: 8039580931...
[2026-02-02 14:08:20] TelegramAPI initialized: Token: 8039580931...
[2026-02-02 14:08:20] TelegramAPI initialized: Token: 8039580931...
[2026-02-02 14:08:20] TelegramAPI initialized: Token: 8039580931...
[2026-02-02 14:08:20] TelegramAPI initialized: Token: 8039580931...
[2026-02-02 14:08:20] TelegramAPI initialized: Token: 8039580931...
[2026-02-02 14:08:20] TelegramAPI initialized: Token: 8039580931...
[2026-02-02 14:08:20] TelegramAPI initialized: Token: 8039580931...
[2026-02-02 14:08:20] TelegramAPI initialized: Token: 8039580931...
[2026-02-02 14:08:20] TelegramAPI initialized: Token: 8039580931...
[2026-02-02 14:08:20] TelegramAPI initialized: Token: 8039580931...
[2026-02-02 14:08:20] TelegramAPI initialized: Token: 8039580931...
[2026-02-02 14:08:20] TelegramAPI initialized: Token: 8039580931...
[2026-02-02 14:08:20] TelegramAPI initialized: Token: 8039580931...
[2026-02-02 14:08:20] TelegramAPI initialized: Token: 8039580931...
[2026-02-02 14:08:20] TelegramAPI initialized: Token: 8039580931...
[2026-02-02 14:08:20] TelegramAPI initialized: Token: 8039580931...
[2026-02-02 14:08:20] TelegramAPI initialized: Token: 8039580931...
[2026-02-02 14:08:20] TelegramAPI initialized: Token: 8039580931...
[2026-02-02 14:08:20] TelegramAPI initialized: Token: 8039580931...
[2026-02-02 14:08:20] TelegramAPI initialized: Token: 8039580931...
[2026-02-02 14:08:20] TelegramAPI initialized: Token: 8039580931...
[2026-02-02 14:08:20] TelegramAPI initialized: Token: 8039580931...
[2026-02-02 14:08:20] TelegramAPI initialized: Token: 8039580931...
[2026-02-02 14:08:20] TelegramAPI initialized: Token: 8039580931...
[2026-02-02 14:08:20] TelegramAPI initialized: Token: 8039580931...
[2026-02-02 14:08:20] TelegramAPI initialized: Token: 8039580931...
[2026-02-02 14:08:20] TelegramAPI initialized: Token: 8039580931...
[2026-02-02 14:08:20] TelegramAPI initialized: Token: 8039580931...
[2026-02-02 14:08:20] TelegramAPI initialized: Token: 8039580931...
[2026-02-02 14:08:20] TelegramAPI initialized: Token: 8039580931...
[2026-02-02 14:08:20] TelegramAPI initialized: Token: 8039580931...
[2026-02-02 14:08:20] TelegramAPI initialized: Token: 8039580931...
[2026-02-02 14:08:20] TelegramAPI initialized: Token: 8039580931...
[2026-02-02 14:08:20] TelegramAPI initialized: Token: 8039580931...
[2026-02-02 14:08:20] TelegramAPI initialized: Token: 8039580931...
[2026-02-02 14:08:20] TelegramAPI initialized: Token: 8039580931...
[2026-02-02 14:08:20] TelegramAPI initialized: Token: 8039580931...
[2026-02-02 14:08:20] TelegramAPI initialized: Token: 8039580931...
[2026-02-02 14:08:20] TelegramAPI initialized: Token: 8039580931...
[2026-02-02 14:08:20] TelegramAPI initialized: Token: 8039580931...
[2026-02-02 14:08:20] TelegramAPI initialized: Token: 8039580931...
[2026-02-02 14:08:20] TelegramAPI initialized: Token: 8039580931...
[2026-02-02 14:08:20] TelegramAPI initialized: Token: 8039580931...
[2026-02-02 14:08:20] TelegramAPI initialized: Token: 8039580931...
[2026-02-02 14:08:20] TelegramAPI initialized: Token: 8039580931...
[2026-02-02 14:08:20] TelegramAPI initialized: Token: 8039580931...
[2026-02-02 14:08:20] TelegramAPI initialized: Token: 8039580931...
[2026-02-02 14:08:20] TelegramAPI initialized: Token: 8039580931...
[2026-02-02 14:08:20] TelegramAPI initialized: Token: 8039580931...
[2026-02-02 14:08:20] TelegramAPI initialized: Token: 8039580931...
[2026-02-02 14:08:20] TelegramAPI initialized: Token: 8039580931...
[2026-02-02 14:08:20] TelegramAPI initialized: Token: 8039580931...
[2026-02-02 14:08:20] TelegramAPI initialized: Token: 8039580931...
[2026-02-02 14:08:20] TelegramAPI initialized: Token: 8039580931...
[2026-02-02 14:08:20] TelegramAPI initialized: Token: 8039580931...
[2026-02-02 14:08:20] TelegramAPI initialized: Token: 8039580931...
[2026-02-02 14:08:20] TelegramAPI initialized: Token: 8039580931...
[2026-02-02 14:08:20] TelegramAPI initialized: Token: 8039580931...
[2026-02-02 14:08:20] TelegramAPI initialized: Token: 8039580931...
[2026-02-02 14:08:20] TelegramAPI initialized: Token: 8039580931...
[2026-02-02 14:08:20] TelegramAPI initialized: Token: 8039580931...
[2026-02-02 14:08:20] TelegramAPI initialized: Token: 8039580931...
[2026-02-02 14:08:20] TelegramAPI initialized: Token: 8039580931...
[2026-02-02 14:08:20] TelegramAPI initialized: Token: 8039580931...
[2026-02-02 14:08:20] TelegramAPI initialized: Token: 8039580931...
[2026-02-02 14:08:20] TelegramAPI initialized: Token: 8039580931...
[2026-02-02 14:08:20] TelegramAPI initialized: Token: 8039580931...
[2026-02-02 14:08:20] TelegramAPI initialized: Token: 8039580931...
[2026-02-02 14:08:20] TelegramAPI initialized: Token: 8039580931...
[2026-02-02 14:08:20] TelegramAPI initialized: Token: 8039580931...
[2026-02-02 14:08:20] TelegramAPI initialized: Token: 8039580931...
[2026-02-02 14:08:20] TelegramAPI initialized: Token: 8039580931...
